original_Lat,original_Lon,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
12.9766,77.5993,0,"Mahatma Gandhi Circle, Queen's Road, Sampangiram Nagar Ward, Bengaluru - 560001, KA, India",12.976594250000002,77.59922289115156,Mahatma Gandhi Circle,,Queen's Road,560001,East Zone,Sampangiram Nagar Ward,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9551,77.6593,1.104818266929906,"5th Cross Road, Konena Agrahara Ward, Bengaluru - 560017, KA, India",12.9551734,77.6591671,5th Cross Road,,5th Cross Road,560017,East Zone,Konena Agrahara Ward,Bengaluru,Bangalore East,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9473,77.5616,0.4009330020110722,"Hanumanth Nagar Ward, Bengaluru - 560019, KA, India",12.9474223,77.5610078,,,,560019,South Zone,Hanumanth Nagar Ward,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.985,77.5533,7.550580079199212,"Apollo Pharmacy, Vatal Nagaraj Road, Shivanagara, Bengaluru - 560010, KA, India",12.9850504,77.5532533,Apollo Pharmacy,,Vatal Nagaraj Road,560010,West Zone,Shivanagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9299,77.6848,78.24066869332384,"Bizframe Technologies Pvt Ltd, 57/1, Devarabeesanahalli Road, Devarabeesanahalli, Bengaluru - 560103, KA, India",12.9295908,77.6854485,Bizframe Technologies Pvt Ltd,57/1,Devarabeesanahalli Road,560103,Mahadevapura Zone,Devarabeesanahalli,Bengaluru,Bangalore East,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9828,77.6131,43.59500245248402,"AGIS, Ajantha Road, Halasooru, Bengaluru - 560042, KA, India",12.9829335,77.6134783,AGIS,,Ajantha Road,560042,East Zone,Halasooru,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9766,77.5993,0,"Mahatma Gandhi Circle, Queen's Road, Sampangiram Nagar Ward, Bengaluru - 560001, KA, India",12.976594250000002,77.59922289115156,Mahatma Gandhi Circle,,Queen's Road,560001,East Zone,Sampangiram Nagar Ward,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9854,77.7081,4.593844609659528,"ING, Graphite India Road, Garudachara Palya, Bengaluru - 560048, KA, India",12.985436,77.7081208,ING,,Graphite India Road,560048,Mahadevapura Zone,Garudachara Palya,Bengaluru,Bangalore East,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.985,77.5533,7.550580079199212,"Apollo Pharmacy, Vatal Nagaraj Road, Shivanagara, Bengaluru - 560010, KA, India",12.9850504,77.5532533,Apollo Pharmacy,,Vatal Nagaraj Road,560010,West Zone,Shivanagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.8988,77.5764,9.431933155193398,"Jaraganahalli Ward, Bengaluru - 560078, KA, India",12.8989077,77.5762494,,,,560078,Bommanahalli Zone,Jaraganahalli Ward,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9438,77.5738,3.143895377123009,"Tagore Circle Underpass, Basavanagudi, Bengaluru - 560004, KA, India",12.9435602,77.5738305,Tagore Circle Underpass,,Tagore Circle Underpass,560004,South Zone,Basavanagudi,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
